time,Lake,species,Seston C ugL,Seston N ugL,Seston P ugL,Biomass C ugL,P_mod_ugL,N_mod_ugL,QP1,QN1,GPP,CN_mass_model,CP_mass_model,NP_mass_model
2000,Barc,average,365.9457258007601,1370.672277,179.9122774,365.9457258007601,49.43187765559438,5511.585860442244,0.49163650422102745,3.745561650080017,0.23750649310788577,0.26698265665407933,2.0340230870049982,7.61855887
2000,Cram,average,366.0085927729699,1378.634793,202.2952506,366.0085927729699,88.65371464711802,15257.40088308299,0.5527062876379384,3.7666732971243224,0.2375800746231108,0.26548625832865647,1.8092792182148478,6.814963718291837
2000,Liro,average,365.98830080823905,1376.808966,158.391508,365.98830080823905,31.990119342125233,10158.506041155746,0.4327775167520941,3.7618933794720846,0.23747730767148517,0.2658235891152057,2.310656079143837,8.692441806368127
2000,Prla,average,366.04497147766295,1383.138294,234.1206135,366.04497147766295,665.0876124330614,1540571.2248966282,0.6395952184574482,3.7786020891304286,0.23762204983446128,0.2646481361127206,1.5634888616143232,5.907802278828037
2000,Prpo,average,366.0447532511608,1383.116701,227.7807783,366.0447532511608,309.34547472282344,1045194.5978919049,0.6222757635061805,3.778545351994395,0.2376218211121149,0.26465210996400484,1.6070045768222627,6.072139674
2000,Sugg,average,366.0442751872621,1383.050996,231.0623678,366.0442751872621,430.00299855486975,525380.3829444016,0.6312415830943163,3.7783707854904414,0.23762124289855274,0.26466433729589556,1.5841795388352704,5.985617688506905
2000,Took,average,365.9451493921708,1370.949985,197.536944,365.9451493921708,76.91069971756832,5643.259941071959,0.5397993232088446,3.746326430365545,0.23750731270401085,0.2669281544433985,1.8525402997089475,6.940220688116938
2000,Flathead,average,316.99486717136796,1205.557019,23.0352301,316.99486717136796,1.7752378762098497,373.9124476560052,0.072667518,3.803080565233639,0.18034208106813296,0.2629447320000611,13.761306739461972,52.33535821306652
2000,Barc,diatoms,244.7375156655918,2426.704375,300.1713938,244.7375156655918,46.440492348425366,5462.741527164342,1.2265033946857797,9.915538973888662,0.10953974799848185,0.10085180469093769,0.8153259129431043,8.084395866208705
2000,Cram,diatoms,244.81909991579886,2443.799766,314.7382951,244.81909991579886,89.48900200263068,15207.478503545013,1.2855953443448307,9.982063356,0.10965975496294557,0.1001796887393015,0.7778497366211475,7.764545352554976
2000,Liro,diatoms,244.6076162,2441.476836,278.6289552,244.6076162,25.720512059023857,10099.644992670925,1.1390853628845476,9.981197127706853,0.10934232795221076,0.10018838293696206,0.8778973311250908,8.762466319847269
2000,Prla,diatoms,244.83333025052428,2453.896387,329.8406622,244.83333025052428,670.3030749280584,1540535.5311463894,1.3472049000747766,10.022721923628733,0.10967639267312065,0.099773296,0.7422775852021434,7.439641826623717
2000,Prpo,diatoms,244.83327630143603,2453.848277,327.0877411,244.83327630143603,313.6690897002268,1045158.378428312,1.335961132572722,10.02252763284395,0.10967633510925713,0.09977523,0.7485247703832923,7.502110195
2000,Sugg,diatoms,244.83311798816092,2453.700343,328.4950256,244.83311798816092,431.5365267556719,525368.8902505495,1.3417099299528366,10.021929887197174,0.1096761614361627,0.099781181,0.7453175814500768,7.469520544988038
2000,Took,diatoms,244.7864446514001,2426.555087,312.0282822,244.7864446514001,76.90761125882213,5640.166774557832,1.2746959198334216,9.912947142010816,0.10963031229089043,0.10087817332970793,0.7845008244246054,7.776715205385022
2000,Flathead,diatoms,234.4677649528921,2124.810531,64.33283084,234.4677649528921,1.1750066071819352,366.72144529033375,0.27437814684829787,9.062271443713934,0.098906497,0.1103476105533842,3.644605124302754,33.02840094158232
2000,Barc,greens,526.5381742279039,261.9539025,105.5582432,526.5381742279039,61.02537366193785,5812.598051105449,0.20047595472790852,0.4975022045953929,0.4375692008994645,2.0100413440645495,4.9881293811880205,2.4816053639480935
2000,Cram,greens,526.7056889829029,263.0005415,120.5524287,526.7056889829029,100.92623693371286,15559.513683343921,0.2288800580268707,0.49933111982898176,0.43779323616157123,2.0026791046840713,4.369100605010329,2.1816278977452894
2000,Liro,greens,526.6577851915782,262.7007356,93.89851776,526.6577851915782,43.729948558042395,10520.525160126406,0.17829133147845536,0.4988072766808285,0.43772918877452904,2.0047823012010095,5.608797644325403,2.7977090784198007
2000,Prla,greens,526.8055233045818,263.6226837,147.842573,526.8055233045818,672.8273382396044,1540785.6139627912,0.2806397550889318,0.5004174634406982,0.437926318,1.9983315392799132,3.5632870320996055,1.7831310581144182
2000,Prpo,greens,526.8050385186699,263.6196683,141.5210263,526.8050385186699,317.6374800022038,1045412.1499248423,0.26864022921551367,0.5004122000500167,0.43792567316052994,1.9983525579513228,3.7224506654130383,1.8627597270569873
2000,Sugg,greens,526.8035473100815,263.6103882,144.6329386,526.8035473100815,432.5774986577225,525449.4532138961,0.2745481485861089,0.5003960007308661,0.4379236880325322,1.998417250616361,3.6423483645760646,1.8226165549024733
2000,Took,greens,526.5287218297299,261.9085203,113.2096637,526.5287218297299,77.78000179494784,5662.247800288685,0.2150113735464212,0.4974249445751263,0.43755774981304213,2.0103535435967053,4.650916756197081,2.313482009674859
2000,Flathead,greens,522.9301840366365,241.0466008,10.15391251,522.9301840366365,1.9822732638992182,397.5677379029271,0.019417338710589708,0.46095369547886766,0.4327477572882026,2.1694153009471746,51.500363407402794,23.73928283114697
2000,Barc,cyanos,293.23730449928127,18.42411737,47.91095169,293.23730449928127,91.15452169395529,5910.997592712048,0.16338627780188913,0.06283006,0.15780211579906914,15.915948566956668,6.120465032029989,0.3845491838756488
